Scarlet Nexus,Ação e aventura,Bandai Namco,Bandai Namco,TBA,TBA,TBA,TBA,[3]
Scorn,Tiro em primeira pessoaSurvival horror,Ebb Software,Ebb Software,TBA,TBA,TBA,TBA,Nao Encontrado
Sea of Thieves,Ação e aventura,Rare,Xbox Game Studios,Festividades de 2020,Festividades de 2020,Festividades de 2020,Festividades de 2020,[5]
Second Extinction,Tiro em primeira pessoa,Systemic Reaction,Avalanche Studios Group,TBA,TBA,TBA,TBA,[3]
Senua's Saga: Hellblade II,Ação e aventura,Ninja Theory,Xbox Game Studios,TBA,TBA,TBA,TBA,Nao Encontrado
Sherlock Holmes: Chapter One,Aventura,Frogwares,Frogwares,TBA,TBA,TBA,TBA,Nao Encontrado
S.T.A.L.K.E.R 2,Tiro em primeira pessoaSurvival horror,GSC Game World,GSC Game World,TBA,TBA,TBA,TBA,Nao Encontrado
State of Decay 3,Ação e aventuraSurvival horror,Undead Labs,Xbox Game Studios,TBA,TBA,TBA,TBA,Nao Encontrado
Tell Me Why,Aventura,Dontnod Entertainment,Xbox Game Studios,Festividades de 2020,Festividades de 2020,Festividades de 2020,Festividades de 2020,Nao Encontrado
Tetris Effect: Connected,Quebra-cabeça,"Monstars, Resonair",Enhance Games,TBA,TBA,TBA,TBA,Nao Encontrado
Tom Clancy's Rainbow Six Quarantine,Tiro tático,Ubisoft,Ubisoft,TBA,TBA,TBA,TBA,[7]
Tom Clancy's Rainbow Six Siege,Tiro tático,Ubisoft Montreal,Ubisoft,TBA,TBA,TBA,TBA,Nao Encontrado
Ultimate Fishing Simulator 2,Esporte,Ultimate Games,Ultimate Games,TBA,TBA,TBA,TBA,[12]
Vampire: The Masquerade – Bloodlines 2,Ação e aventura,Hardsuit Labs,Paradox Interactive,TBA,TBA,TBA,TBA,Nao Encontrado
Vampire: The Masquerade – Swansong,RPG de ação,Big Bad Wolf,Nacon,TBA,2021,2021,2021,Nao Encontrado
Warframe,Tiro em terceira pessoa,Digital Extremes,Digital Extremes,TBA,TBA,TBA,TBA,Nao Encontrado
Warhammer: Chaosbane,RPG de açãoHack and slash,Eko Software,Bigben Interactive,TBA,TBA,TBA,TBA,Nao Encontrado
"Warhammer 40,000: Darktide",Ação e aventura,Fatshark,Fatshark,2021,2021,2021,2021,Nao Encontrado
Watch Dogs: Legion,Ação e aventura,Ubisoft Toronto,Ubisoft,TBA,TBA,TBA,TBA,Nao Encontrado
Werewolf: The Apocalypse – Earthblood,RPG de ação,Cyanide,Nacon,TBA,4 de fevereiro de 2021,4 de fevereiro de 2021,4 de fevereiro de 2021,Nao Encontrado
WRC 9: World Rally Championship,Corrida,Kylotonn,Nacon,TBA,TBA,TBA,TBA,[13]
Yakuza: Like a Dragon,Ação e aventura,Ryu Ga Gotoku Studio,Sega,TBA,TBA,TBA,TBA,Nao Encontrado
